Location list generated 2022-04-27  9:57 AM UTC

28th St. Pier (San Diego), 0.92 nmi. SW, California Sub 32.6747° N, 117.1495° W
3 miles above A1A highway bridge, Loxahatchee River Sub 26.9700° N,  80.1250° W
3 miles above A1A highway bridge, Loxahatchee River Sub 26.9700° N,  80.1267° W
3 miles southeast of, Pinellas Point, Florida Curre Sub 27.6730° N,  82.5930° W
37th Avenue, Long Island City, East River, New York Sub 40.7617° N,  73.9467° W
5 miles NE of Point Brazil, Montague Island, Alaska Sub 59.0250° N, 147.5917° W
610 Statute Mile Mark, Bear River, Georgia Current  Sub 31.8105° N,  81.1767° W
8 miles above mouth, Little Satilla River, Georgia  Sub 31.1000° N,  81.5667° W
8 miles above mouth, Little Satilla River, Georgia  Sub 31.0983° N,  81.5733° W
A1A highway bridge, Loxahatchee River, Florida      Sub 26.9467° N,  80.0900° W
A1A highway bridge, Loxahatchee River, Florida      Sub 26.9467° N,  80.0900° W
Aba, Nagasaki, Japan                                Ref 32.7500° N, 129.9500° E
Abasiri, Hokkaido, Japan                            Ref 44.0167° N, 144.2830° E
Abbapoola Creek entrance, Stono River, South Caroli Sub 32.6767° N,  80.0067° W
Abbapoola Creek entrance, Stono River, South Caroli Ref 32.6767° N,  80.0067° W
Abbapoola Creek entrance, Stono River, South Caroli Sub 32.6767° N,  80.0067° W
Abbot Point, Australia                              Ref 19.8833° S, 148.0833° E
Abbots Meadow, Alloway Creek, New Jersey            Sub 39.5117° N,  75.4933° W
Abbots Meadow, Alloway Creek, New Jersey            Sub 39.5117° N,  75.4933° W
Abemama Atoll, Gilbert Islands, Kiribati            Sub  0.4983° N, 173.8333° E
Aberdeen, Grays Harbor, Washington                  Ref 46.9683° N, 123.8533° W
Aberdeen, Scotland - READ flaterco.com/pol.html     Ref 57.1441° N,   2.0787° W
Aberdeen, Washington                                Ref 46.9667° N, 123.8533° W
Aberdeen, Washington (2) (expired 1993-12-31)       Ref 46.9667° N, 123.8533° W
Aberdeen, Washington (3)                            Ref 46.9670° N, 123.8500° W
Abiels Ledge, 0.4 mile south of, Massachusetts Curr Sub 41.6850° N,  70.6733° W
Abiels Ledge, Buzzards Bay, Massachusetts           Sub 41.7000° N,  70.6667° W
Abott Harbour, Nova Scotia                          Ref 43.6667° N,  65.8167° W
Abrahams Bay, Mayaguana Island, Bahamas             Ref 22.3667° N,  73.0000° W
Abrahams Bay, Mayaguana Island, Bahamas (2)         Sub 22.3667° N,  73.0000° W
Abram River, Nova Scotia                            Ref 43.8333° N,  65.9500° W
Abrolhos Anchorage, Brazil                          Sub 17.9666° S,  38.7000° W
Absecon Channel, State Route 87 bridge, New Jersey  Sub 39.3850° N,  74.4250° W
Absecon Channel, State Route 87 bridge, New Jersey  Sub 39.3850° N,  74.4250° W
Absecon, Absecon Creek, U.S. Hwy. 30 bridge, New Je Sub 39.4233° N,  74.5000° W
Absecon, Absecon Creek, U.S. Hwy. 30 bridge, New Je Sub 39.4233° N,  74.5000° W
Aburatu, Miyazaki, Japan                            Ref 31.5833° N, 131.4170° E
Aburatubo, Kanagawa, Japan                          Ref 35.1500° N, 139.6170° E
Acabonack Hbr. ent., 0.6 mile ESE of, New York Curr Sub 41.0217° N,  72.1233° W
Acadia Cove, Nunavut                                Ref 61.3500° N,  64.9167° W
Acapulco, Guerrero, Mexico                          Ref 16.8400° N,  99.9117° W
Active Pass, British Columbia Current               Ref 48.8667° N, 123.3000° W
Ada, Okinawa, Japan                                 Ref 26.7333° N, 128.3170° E
Adak Bight, Adak Island, Alaska                     Sub 51.7667° N, 176.4333° W
Adak Bight, Adak Island, Alaska                     Sub 51.7667° N, 176.4333° W
Adak Strait, 4 miles ENE of Naga Point, Alaska Curr Sub 51.7833° N, 177.0000° W
Adak Strait, off Argonne Point, Alaska Current      Sub 51.8000° N, 176.9500° W
Adams Key, south end, Biscayne Bay, Florida         Sub 25.3967° N,  80.2333° W
Adams Key, south end, Biscayne Bay, Florida         Sub 25.3950° N,  80.2300° W
Addenbroke Island, British Columbia                 Ref 51.6000° N, 127.5167° W
Addenbroke Island, British Columbia (2)             Ref 51.6000° N, 127.8167° W
Addison, Pleasant River, Maine                      Sub 44.6167° N,  67.7500° W
Adelaide Inner Harbour, Australia                   Ref 34.8500° S, 138.5000° E
Adelaide Outer Harbour, Australia                   Ref 34.7833° S, 138.4833° E
Adele Island, Australia                             Ref 15.5167° S, 123.1500° E
Admiralty Bay, South Shetlands                      Sub 62.0500° S,  58.4000° W
Admiralty Head, 0.5 mile west of, Washington Curren Sub 48.1500° N, 122.7000° W
Admiralty Head, 0.5 mile west of, Washington Curren Sub 48.1500° N, 122.7000° W
Admiralty Head, Admiralty Inlet, Washington         Sub 48.1667° N, 122.6667° W
Admiralty Head, Washington                          Sub 48.1667° N, 122.6667° W
Admiralty Inlet (off Bush Point), Washington Curren Ref 48.0333° N, 122.6333° W
Admiralty Inlet, Washington Current                 Ref 48.0300° N, 122.6367° W
Admiralty Island, Nunavut                           Ref 69.4500° N, 100.9833° W
Adolphus Island, Australia                          Ref 15.1167° S, 128.1833° E
Adugak Islands, Umnak Island, Alaska                Sub 52.9167° N, 169.1666° W
Adugak Islands, Umnak Island, Alaska                Sub 52.9167° N, 169.1667° W
Advocate, Nova Scotia                               Ref 45.3333° N,  64.7833° W
Affleck Canal entrance, Kuiu Island, Alaska         Sub 56.0367° N, 134.1150° W
Agate Pass, North End of, Washington Current        Sub 47.7167° N, 122.5500° W
Agate Pass, South End of, Washington Current        Sub 47.7000° N, 122.5667° W
Agate Passage, north end, Washington Current        Sub 47.7220° N, 122.5550° W
Agate Passage, south end, Washington Current        Sub 47.7128° N, 122.5655° W
Agnes Cove, Aialik Peninsula, Alaska                Sub 59.7733° N, 149.5883° W
Aguadilla, Crashboat Beach, Puerto Rico             Ref 18.4567° N,  67.1650° W
Aguchik Island, Kukak Bay, Alaska                   Sub 58.2900° N, 154.2700° W
Agvik Island, Québec                                Ref 60.0167° N,  69.7000° W
Ahipara Bay, New Zealand                            Sub 35.1667° S, 173.1167° E
Aialik Bay, North end, Alaska                       Sub 59.9533° N, 149.7150° W
Aialik Sill, Aialik Bay, Alaska                     Sub 59.8850° N, 149.7183° W
Aigura Point, Papua New Guinea                      Ref 10.1333° S, 150.2500° E
Ailinglapalap Atoll, Marshall Islands               Sub  7.2833° N, 168.7500° E
Ailinglapalap Atoll, Marshall Islands               Sub  7.2833° N, 168.7500° E
Ailuk Atoll, Marshall Islands                       Sub 10.2167° N, 169.9833° E
Ailuk Atoll, Marshall Islands                       Sub 10.2167° N, 169.9833° E
Ainoura, Nagasaki, Japan                            Ref 33.1833° N, 129.6330° E
Aioi, Hyogo, Japan                                  Ref 34.8000° N, 134.4670° E
Airstrip Point, Nunavut                             Ref 76.0833° N,  97.7333° W
Airy Hall Plantation, Ashepoo River, South Carolina Sub 32.6317° N,  80.4717° W
Airy Hall Plantation, Ashepoo River, South Carolina Sub 32.6317° N,  80.4717° W
Aitutaki, Aitutaki Atoll (2)                        Sub 18.8500° S, 159.7833° W
Akabane, Aichi, Japan                               Ref 34.6000° N, 137.2000° E
Akaroa, New Zealand                                 Sub 43.8000° S, 172.9167° E
Akaroa, New Zealand(2)                              Sub 43.8000° S, 172.9167° E
Akasaki, Tottori, Japan                             Ref 35.5167° N, 133.6670° E
Akasi, Hyogo, Japan                                 Ref 34.6500° N, 135.0000° E
Akita, Akita, Japan                                 Ref 39.7500° N, 140.0670° E
Akkesi Ko, Hokkaido, Japan                          Ref 43.0333° N, 144.8670° E
Akkesi, Hokkaido, Japan                             Ref 43.0333° N, 144.8500° E
Ako (Harima Nada), Hyogo, Japan                     Ref 34.7500° N, 134.3670° E
Ako (Miyake Sima), Tokyo, Japan                     Ref 34.0667° N, 139.4830° E
Akulivik, Hudson Bay, Québec                        Ref 60.8000° N,  78.2167° W
Akun Bay, Akun Island, Alaska                       Sub 54.2333° N, 165.5333° W
Akun Bay, Akun Island, Aleutian Islands, Alaska     Sub 54.2333° N, 165.5333° W
Akune, Kagosima, Japan                              Ref 32.0167° N, 130.2000° E
Akureyri, Iceland                                   Ref 65.6833° N,  18.1167° W
Akutan Harbor, Akutan Island, Alaska                Sub 54.1333° N, 165.8000° W
Akutan Harbor, Akutan Island, Aleutian Islands, Ala Sub 54.1333° N, 165.8000° W
Akutan Pass, Aleutian Islands, Alaska Current       Ref 54.0217° N, 166.0517° W
Akutan, Aleutian Islands, Alaska                    Ref 54.1333° N, 165.7767° W
Ala Spit, Washington                                Sub 48.3967° N, 122.5867° W
Ala Spit, Whidbey Island, Washington                Sub 48.3967° N, 122.5867° W
Alabama Point, Alabama                              Ref 30.2783° N,  87.5550° W
Alameda Creek, San Francisco Bay, California        Sub 37.5950° N, 122.1450° W
Alameda Creek, San Francisco Bay, California        Sub 37.5950° N, 122.1450° W
Alameda Naval Air Station, San Francisco Bay, Calif Sub 37.7933° N, 122.3150° W
Alameda Radar Tower, .9 SSW of, South San Francisco Sub 37.7333° N, 122.2666° W
Alameda, San Francisco Bay, California              Ref 37.7717° N, 122.2983° W
Alameda, San Francisco Bay, California              Ref 37.7717° N, 122.2983° W
Alameda, San Francisco Bay, California              Ref 37.7717° N, 122.2983° W
Alameda, San Francisco Bay, California              Ref 37.7717° N, 122.2983° W
Alameda, San Francisco Bay, California (2)          Ref 37.7717° N, 122.2983° W
Alameda, San Francisco Bay, California (3)          Ref 37.7717° N, 122.2983° W
Alameda, San Francisco Bay, California (4)          Sub 37.7717° N, 122.2983° W
Alameda, San Francisco Bay, California (sub)        Sub 37.7717° N, 122.2983° W
Alava Bay, Alaska                                   Sub 55.2333° N, 131.1333° W
Albany Island, Endeavour Strait                     Ref 10.7167° S, 142.5833° E
Albany, Australia                                   Ref 35.0333° S, 117.8833° E
Albany, Hudson River, New York                      Ref 42.6500° N,  73.7467° W
Albany, New York                                    Ref 42.6500° N,  73.7467° W
Albatross Anchorage, Balboa Bay, Alaska             Sub 55.5833° N, 160.6167° W
Albatross Anchorage, Balboa Bay, Alaska             Sub 55.5833° N, 160.6166° W
Albergottie Creek, Rt. 21 bridge, Beaufort River, S Sub 32.4500° N,  80.7317° W
Albergottie Creek, Rt. 21 bridge, Beaufort River, S Sub 32.4500° N,  80.7317° W
Alberta Pool Elev., British Columbia                Ref 49.3000° N, 123.0333° W
Alberton, Prince Edward Island                      Ref 46.8000° N,  64.0667° W
Alberton, Prince Edward Island (2)                  Sub 46.8167° N,  64.0500° W
Albion, California                                  Sub 39.2167° N, 123.7666° W
Alcan Harbor, Shemya Island, Alaska                 Sub 52.7333° N, 174.0667° E
Alcan Harbor, Shemya Island, Aleutian Islands, Alas Sub 52.7333° N, 174.0667° E
Alcatraz (North Point), San Francisco Bay, Californ Ref 37.8267° N, 122.4167° W
Alcatraz Island .8 mi E, San Francisco Bay, Califor Sub 37.8167° N, 122.4000° W
Alcatraz Island S, San Francisco Bay, California Cu Sub 37.8167° N, 122.4166° W
Alcatraz Island W, San Francisco Bay, California Cu Sub 37.8333° N, 122.4333° W
Alcatraz Island, 5 mi N, San Francisco Bay, Califor Sub 37.8333° N, 122.4166° W
Alcatraz Island, San Francisco Bay, California      Sub 37.8333° N, 122.4167° W
Alcatraz Island, San Francisco Bay, California      Sub 37.8267° N, 122.4166° W
Alden Point, Patos Is, 2 miles S of, Washington Cur Sub 48.7542° N, 122.9833° W
Alden Point, Patos Island, 2 miles S of, Washington Sub 48.7578° N, 122.9803° W
Aleck Bay, Lopez Island, Washington                 Sub 48.4333° N, 122.8500° W
Aleck Bay, Lopez Island, Washington                 Sub 48.4333° N, 122.8500° W
Alert Bay, British Columbia                         Ref 50.5833° N, 126.9333° W
Alert Bay, British Columbia (2)                     Ref 50.5833° N, 126.9333° W
Alert, Nunavut                                      Ref 82.0500° N,  62.3167° W
Alert, Nunavut (2)                                  Sub 82.5000° N,  62.3333° W
Alexandria, Potomac River, Virginia                 Sub 38.8050° N,  77.0383° W
Alexandria, Virginia                                Sub 38.8000° N,  77.0333° W
Alice Arm, British Columbia                         Ref 55.4667° N, 129.5000° W
Alice Arm, British Columbia (2)                     Ref 55.4667° N, 129.5000° W
Alison Sound, British Columbia                      Ref 51.1500° N, 127.0000° W
Alitak, Lazy Bay, Alaska                            Ref 56.8983° N, 154.2467° W
Alitak, Lazy Bay, Alaska (sub)                      Sub 56.8983° N, 154.2467° W
Alki Point, 0.3 mile west of, Washington Current    Sub 47.5755° N, 122.4280° W
Alki Point, 0.3 miles W of, Washington Current      Sub 47.6667° N, 122.4333° W
Allanton, East Bay, St. Andrew Bay, Florida         Sub 30.0300° N,  85.4650° W
Allen Cove, Maine                                   Sub 44.3000° N,  68.5500° W
Allied Chemical Corp. docks, Turtle River, Georgia  Sub 31.1833° N,  81.5167° W
Allied Chemical Corp. docks, Turtle River, Georgia  Sub 31.1833° N,  81.5167° W
Alligator Bayou, St. Andrew Bay, Florida            Sub 30.1700° N,  85.7550° W
Alligator Point, St. James Island, Apalachee Bay, F Sub 29.9033° N,  84.4133° W
Alligator Point, St. James Island, Florida          Sub 29.9033° N,  84.4133° W
Alligator Point, West Bay, Texas                    Sub 29.1667° N,  95.1250° W
Alligator Point, West Bay, Texas                    Sub 29.1667° N,  95.1333° W
Alligator Reef Light, Florida                       Ref 24.8500° N,  80.6183° W
Alligator Reef Light, Florida (2)                   Sub 24.8500° N,  80.6183° W
Alligator Reef, Hawk Channel, Florida               Sub 24.8500° N,  80.6183° W
Allmondsville, York River, Virginia                 Sub 37.3833° N,  76.6500° W
Allston Creek, Murrells Inlet, South Carolina       Sub 33.5317° N,  79.0533° W
Allston Creek, South Carolina                       Sub 33.5317° N,  79.0533° W
Allyn, Case Inlet, Puget Sound, Washington          Sub 47.3833° N, 122.8233° W
Allyn, Washington                                   Sub 47.3833° N, 122.8233° W
Almy Point Bridge, south of, Sakonnet River, Rhode  Sub 41.6217° N,  71.2200° W
Alotau, Papua New Guinea                            Ref 10.3167° S, 150.4500° E
Alpine, Hudson River, New Jersey                    Sub 40.9450° N,  73.9183° W
Alpine, New Jersey, Hudson River, New York          Sub 40.9450° N,  73.9183° W
Alva Bay, Revillagigedo Island, Alaska              Sub 55.2333° N, 131.1333° W
Alvarado, Veracruz, Mexico                          Ref 18.7700° N,  95.7650° W
Alvarado, Veracruz, Mexico (2)                      Sub 18.7667° N,  95.7667° W
Amagasaki, Hyogo, Japan                             Ref 34.7000° N, 135.4000° E
Amak Island, 5 miles north of, Alaska Current       Sub 55.5000° N, 163.1667° W
Amak Island, 5 miles southeast of, Alaska Current   Sub 55.3500° N, 163.0167° W
Amak Island, Alaska                                 Sub 55.4167° N, 163.1166° W
Amak Island, Bristol Bay, Alaska                    Sub 55.4167° N, 163.1167° W
Amelia City, South Amelia River, Florida            Sub 30.5867° N,  81.4633° W
Amelia City, South Amelia River, Florida            Ref 30.5867° N,  81.4633° W
Amelia City, South Amelia River, Florida (2)        Ref 30.5867° N,  81.4633° W
Amelia City, South Amelia River, Florida (3)        Sub 30.5867° N,  81.4633° W
Amelia Earhart Dam, Mystic River, Boston Harbor, Ma Sub 42.3950° N,  71.0767° W
American Bay, Kaigani Strait, Alaska                Sub 54.8500° N, 132.8333° W
American Bay, Kaigani Strait, Alaska                Sub 54.8500° N, 132.8333° W
American River, Australia                           Ref 35.8000° S, 137.7667° E
Amherst Harbour, Magdalen Islands, Gulf of St. Lawr Sub 47.2333° N,  61.8333° W
Amherst Point, Cumberland Basin, Nova Scotia        Sub 45.8333° N,  64.2833° W
Amityville, Great South Bay, New York               Sub 40.6550° N,  73.4183° W
Amityville, Long Island, New York                   Sub 40.6550° N,  73.4183° W
Amoco Pier, off, Cooper River, South Carolina Curre Sub 32.9592° N,  79.9180° W
Amtrak RR. swing bridge, Hackensack River, New Jers Sub 40.7517° N,  74.0967° W
Amtrak RR. swing bridge, Hackensack River, New Jers Sub 40.7517° N,  74.0967° W
Amukta Island, north side, Alaska                   Sub 52.5167° N, 171.2333° W
Amukta Island, north side, Aleutian Islands, Alaska Sub 52.5167° N, 171.2333° W
Anacortes, Guemes Channel, Washington               Sub 48.5167° N, 122.6167° W
Anacortes, Guemes Channel, Washington               Ref 48.5167° N, 122.6167° W
Anacortes, Guemes Channel, Washington (2)           Sub 48.5167° N, 122.6167° W
Anacostia Bridge, D.C.                              Sub 38.8667° N,  77.0000° W
Anaga Ura, Hyogo, Japan                             Ref 34.2667° N, 134.6670° E
Anamizu, Ishikawa, Japan                            Ref 37.2167° N, 136.9170° E
Anchor Point, Alaska                                Sub 56.6333° N, 132.9333° W
Anchor Point, Alaska (2)                            Sub 56.6333° N, 132.9333° W
Anchor Point, Cook Inlet, Alaska                    Sub 56.6383° N, 132.9267° W
Anchor Point, Kenai Peninsula, Alaska               Sub 59.7667° N, 151.8833° W
Anchorage (Knik Arm), Alaska                        Ref 61.2383° N, 149.9167° W
Anchorage, Alaska                                   Ref 61.2383° N, 149.8883° W
Anchorage, Alaska (2) (expired 1999-08-03)          Ref 61.2383° N, 149.8883° W
Anchorage, Knik Arm, Cook Inlet, Alaska             Ref 61.2383° N, 149.8900° W
Anclote Key, southern end, Florida                  Sub 28.1650° N,  82.8433° W
Anclote Key, southern end, Florida                  Sub 28.1650° N,  82.8433° W
Anclote, Anclote River, Florida                     Sub 28.1717° N,  82.7850° W
Anderson Bay, Unalaska Island, Alaska               Sub 53.6833° N, 166.8333° W
Anderson Bay, Unalaska Island, Alaska               Sub 53.6833° N, 166.8333° W
Anderson Island Hudson, Québec                      Ref 56.0333° N,  76.0667° W
Andreon Bay, Shuyak Island, Alaska                  Sub 58.5167° N, 152.4167° W
Andreon Bay, Shuyak Island, Alaska                  Sub 58.5167° N, 152.4166° W
Andrew Bay, Adak Island, Alaska                     Sub 51.9833° N, 176.6333° W
Andrews Avenue bridge, New River, Fort Lauderdale,  Sub 26.1183° N,  80.1450° W
Andrews Avenue bridge, New River, Fort Lauderdale,  Sub 26.1183° N,  80.1450° W
Androscoggin River entrance, Kennebec River, Maine  Sub 43.9500° N,  69.8883° W
Androscoggin River entrance, Maine                  Sub 43.9500° N,  69.8883° W
Anesaki, Tiba, Japan                                Ref 35.4833° N, 140.0330° E
Anewa Bay, Solomon Islands                          Ref  6.1833° S, 155.5500° E
Angel Island .8 mi E, San Francisco Bay, California Sub 37.8500° N, 122.4000° W
Angel Island (west side), San Francisco Bay, Califo Sub 37.8667° N, 122.4500° W
Angel Island (west side), San Francisco Bay, Califo Sub 37.8600° N, 122.4433° W
Angel Island off Quarry Point, San Francisco Bay, C Sub 37.8500° N, 122.4000° W
Angel Island, East Garrison, San Francisco Bay, Cal Sub 37.8633° N, 122.4183° W
Angel Island, East Garrison, San Francisco Bay, Cal Sub 37.8633° N, 122.4200° W
Angmagssalik (Kulusuk), Greenland                   Sub 65.6000° N,  37.1500° W
Angra dos Reis, Brazil                              Sub 23.0166° S,  44.3167° W
Anguilla Island, Gulf of Esquibel, Alaska           Sub 55.6833° N, 133.5833° W
Anguilla Island, Gulf of Esquibel, Alaska           Sub 55.6833° N, 133.5833° W
Aningaq, Rifkol, Greenland                          Sub 67.9167° N,  53.8333° W
Anita Bay, New Zealand                              Sub 44.5833° S, 167.8000° E
Ankona, Indian River, Florida                       Sub 27.3550° N,  80.2733° W
Ankona, Indian River, Florida                       Sub 27.3550° N,  80.2750° W
Anna Maria Key, Bradenton Beach, Florida            Sub 27.4967° N,  82.7133° W
Anna Maria Key, Bradenton Beach, Tampa Bay, Florida Sub 27.4967° N,  82.7133° W
Anna Maria Key, city pier, Florida                  Sub 27.5333° N,  82.7300° W
Anna Maria Key, city pier, Tampa Bay, Florida       Sub 27.5333° N,  82.7300° W
Annapolis (US Naval Academy), Severn River, Marylan Ref 38.9833° N,  76.4817° W
Annapolis (US Naval Academy), Severn River, Marylan Sub 38.9833° N,  76.4800° W
Annapolis Royal, Annapolis River, Nova Scotia       Sub 44.7500° N,  65.5000° W
Annapolis, Maryland                                 Ref 38.9850° N,  76.4867° W
Annapolis, Maryland (2)                             Sub 38.9833° N,  76.4800° W
Annette Key, north end, Big Spanish Channel, Florid Sub 24.7583° N,  81.3900° W
Annette Key, north end, Big Spanish Channel, Florid Sub 24.7583° N,  81.3900° W
Annisquam, Lobster Cove, Massachusetts              Sub 42.6550° N,  70.6767° W
Annisquam, Massachusetts                            Sub 42.6550° N,  70.6767° W
Ano Nuevo Island, California                        Sub 37.1000° N, 122.3333° W
Ano Nuevo Island, California                        Sub 37.1083° N, 122.3383° W
Anse Aux Gascons, Québec                            Ref 48.1833° N,  64.8667° W
Ant Islands (Tauenai Channel), East Caroline Island Sub  6.7667° N, 158.0000° E
Anthony Point, Sakonnet River, Narragansett Bay, Rh Sub 41.6383° N,  71.2117° W
Anthony Point, Sakonnet River, Rhode Island         Sub 41.6383° N,  71.2117° W
Antigonish Harbour, Nova Scotia                     Ref 45.0667° N,  61.9167° W
Antigonish Harbour, Nova Scotia (2)                 Sub 45.6667° N,  61.8833° W
Antilla, Bahía de Nipe, Cuba                        Sub 20.8333° N,  75.7333° W
Antioch Pt .3 mi E, San Joaquin River, California C Sub 38.0333° N, 121.8166° W
Antioch, San Joaquin River, California              Sub 38.0200° N, 121.8150° W
Antioch, San Joaquin River, California              Sub 38.0200° N, 121.8150° W
Ao Sima, Ehime, Japan                               Ref 33.7333° N, 132.4830° E
Ao, Toyama, Japan                                   Ref 36.8833° N, 136.9830° E
Aohama, Hukuoka, Japan                              Ref 33.9500° N, 131.0170° E
Aokata, Nagasaki, Japan                             Ref 33.0000° N, 129.0500° E
Aoki, Kagawa, Japan                                 Ref 34.3667° N, 133.6830° E
Aomori, Aomori, Japan                               Ref 40.8333° N, 140.7670° E
Aonae, Hokkaido, Japan                              Ref 42.0667° N, 139.4500° E
Aotea Harbour, New Zealand                          Sub 38.0000° S, 174.8333° E
Apalachicola River (A&N RR bridge), Apalachicola Ba Sub 29.7633° N,  85.0333° W
Apalachicola, Apalachicola Bay, Florida             Ref 29.7267° N,  84.9817° W
Apalachicola, Apalachicola Bay, Florida             Ref 29.7267° N,  84.9817° W
Apalachicola, Apalachicola Bay, Florida (2)         Ref 29.7267° N,  84.9817° W
Apalachicola, Apalachicola Bay, Florida (3)         Ref 29.7233° N,  84.9800° W
Apalachicola, Apalachicola Bay, Florida (4)         Sub 29.7267° N,  84.9817° W
Apavawook Cape, 1 mile south of, St. Lawrence Islan Sub 63.1167° N, 168.9333° W
Ape Hole Creek, Pocomoke Sound, Chesapeake Bay, Mar Sub 37.9617° N,  75.8217° W
Ape Hole Creek, Pocomoke Sound, Chesapeake Bay, Mar Sub 37.9617° N,  75.8217° W
Apia, Samoa Islands                                 Ref 13.8000° S, 171.7667° W
Apokak Creek entrance, Alaska                       Sub 60.1367° N, 162.1583° W
Apokak Creek entrance, Alaska                       Sub 60.1333° N, 162.1666° W
Apokak Creek entrance, Alaska Current               Sub 60.1333° N, 162.1667° W
Apollo Bay, Australia                               Ref 38.7500° S, 143.6667° E
Apoon Mouth, Yukon River, Norton Sound, Alaska      Sub 63.0500° N, 163.3833° W
Apoon Mouth, Yukon River, Norton Sound, Alaska      Sub 63.0500° N, 163.3833° W
Apple Cove Point, 0.5 mile E of, Washington Current Sub 47.8167° N, 122.4667° W
Applegate Cove, Chuginadak Island, Alaska           Sub 52.8667° N, 169.8666° W
Applegate Cove, Chuginadak Island, Aleutian Islands Sub 52.8667° N, 169.8667° W
Applegate Island, Alaska                            Sub 60.6333° N, 148.1666° W
Applegate Island, Prince William Sound, Alaska      Sub 60.6333° N, 148.1667° W
Approach, Beaufort Inlet, North Carolina Current    Sub 34.6717° N,  76.6700° W
Apra Harbor, Guam                                   Ref 13.4383° N, 144.6533° E
Aquia Creek, Potomac River, Virginia                Sub 38.4183° N,  77.3533° W
Aquia Creek, Virginia                               Ref 38.4183° N,  77.3533° W
Aquia Creek, Virginia (2)                           Sub 38.4167° N,  77.3500° W
Aracaju, Brazil                                     Sub 10.9333° S,  37.0500° W
Arakawa (Tamanoura), Nagasaki, Japan                Ref 32.6667° N, 128.6830° E
Arakawa, Nagasaki, Japan                            Ref 32.9167° N, 129.0500° E
Aransas Channel, Texas                              Ref 27.8383° N,  97.0517° W
Aransas Pass, Texas Current                         Ref 27.8333° N,  97.0450° W
Aransas Pass, Texas Current (15d)                   Sub 27.8338° N,  97.0442° W
Aransas Pass, Texas Current (35d)                   Ref 27.8338° N,  97.0442° W
Aransas Pass, Texas Current (50d)                   Sub 27.8338° N,  97.0442° W
Aratu, Brazil                                       Sub 12.7833° S,  38.5000° W
Arcadia, Totten Inlet, Puget Sound, Washington      Sub 47.1967° N, 122.9383° W
Arcadia, Washington                                 Sub 47.1967° N, 122.9383° W
Arcata Wharf, Humboldt Bay, California              Sub 40.8500° N, 124.1166° W
Arcata Wharf, Humboldt Bay, California              Sub 40.8500° N, 124.1167° W
Archer River, Australia                             Ref 13.3333° S, 141.6500° E
Arctic Bay, Nunavut                                 Ref 73.0333° N,  85.0167° W
Ardrossan, Australia                                Ref 34.4333° S, 137.9167° E
Arecibo, Puerto Rico                                Ref 18.4800° N,  66.7017° W
Arena Cove, California                              Ref 38.9133° N, 123.7083° W
Arena Cove, California (2)                          Sub 38.9133° N, 123.7083° W
Arena Cove, Pacific Ocean, California               Ref 38.9133° N, 123.7083° W
Argentia, Newfoundland                              Ref 47.3000° N,  53.9833° W
Argentia, Newfoundland (2)                          Ref 47.3000° N,  53.9833° W
Arichat, Nova Scotia                                Ref 45.5167° N,  61.0333° W
Arichat, Nova Scotia (2)                            Sub 45.5167° N,  61.0333° W
Ariege Bay, Newfoundland                            Sub 51.1667° N,  56.0000° W
